title_length,view_count,like_count,comment_count,video_length,tag_count,category_id,channel_subscriber_count
45,202658,2300,54,3630,19,26,77300000
54,44739,559,41,1047,19,26,77300000
40,194678,1724,80,932,21,26,77300000
76,350230,2317,139,487,19,26,77300000
42,187058,1959,92,3580,19,26,77300000
47,191938,1051,77,961,19,26,77300000
44,262428,8223,22,35,19,26,77300000
42,166437,5325,18,16,19,26,77300000
55,248504,2293,76,981,21,26,77300000
38,156904,1241,101,992,19,26,77300000
49,822568,5108,146,3558,19,26,77300000
50,150684,1780,56,914,19,26,77300000
47,192411,1952,161,961,19,26,77300000
46,359534,1667,88,942,23,26,77300000
49,715476,4474,138,3620,23,26,77300000
62,238087,1256,76,935,19,26,77300000
37,194672,1810,97,923,19,26,77300000
50,106748,928,37,915,23,26,77300000
41,180597,1649,79,3638,19,26,77300000
53,251099,1538,76,823,19,26,77300000
75,344784,2241,104,916,19,26,77300000
62,617991,18727,30,57,19,26,77300000
71,223574,1030,69,3761,19,26,77300000
58,229732,1490,52,975,24,26,77300000
54,598181,3076,136,932,24,26,77300000
59,318784,2716,97,933,25,26,77300000
49,364329,2190,85,919,25,26,77300000
64,133428,1436,73,927,25,26,77300000
62,413420,14516,79,26,25,26,77300000
77,710780,2531,83,3624,26,26,77300000
58,98095,788,60,910,24,26,77300000
30,394594,2341,92,602,19,26,77300000
43,559471,2439,138,3654,35,26,77300000
46,201248,1899,79,990,33,26,77300000
55,219443,1835,73,971,20,26,77300000
70,140526,1063,85,185,19,26,77300000
52,171328,1684,,907,23,26,77300000
49,181531,1135,78,918,19,26,77300000
56,109676,1030,56,948,21,26,77300000
55,185011,1987,70,3640,19,26,77300000
39,653813,4093,,978,19,26,77300000
67,75458,859,69,944,24,26,77300000
74,236942,2052,99,593,19,26,77300000
61,256888,2451,106,3667,19,26,77300000
36,163380,2165,53,608,19,26,77300000
53,115289,1173,67,930,22,26,77300000
47,82688,1050,78,924,19,26,77300000
48,224415,2200,65,951,19,26,77300000
60,86566,956,48,3683,22,26,77300000
52,572829,4000,133,661,19,26,77300000
47,1014673,26904,74,25,21,26,77300000
50,148883,1721,,3670,19,26,77300000
57,120987,1350,80,983,19,26,77300000
66,464254,2576,149,1002,19,26,77300000
36,221387,2190,77,995,19,26,77300000
54,163208,2014,88,935,19,26,77300000
48,139399,1398,,3653,19,26,77300000
44,1794740,10119,118,927,22,26,77300000
41,475159,3471,143,605,19,26,77300000
49,228296,1913,,3677,19,26,77300000
39,139024,1263,85,929,21,26,77300000
31,17110735,371123,362,31,25,26,77300000
61,168205,1566,107,602,19,26,77300000
49,404064,3617,89,941,21,26,77300000
35,281849,1555,52,951,22,26,77300000
66,150615,1679,87,3584,23,26,77300000
58,137411,1510,102,930,22,26,77300000
65,110915,1380,67,949,19,26,77300000
38,429098,3350,116,602,19,26,77300000
53,452052,3264,,3822,19,26,77300000
45,376897,1923,61,961,19,26,77300000
49,257186,2337,134,900,19,26,77300000
47,1280472,5954,98,933,19,26,77300000
51,172569,1235,52,3739,19,26,77300000
37,1376168,7789,125,586,19,26,77300000
62,222549,1742,133,917,21,26,77300000
26,1088287,24633,147,45,22,26,77300000
49,564086,1477,160,964,19,26,77300000
31,100766,942,148,943,19,26,77300000
73,115529,1105,63,3708,19,26,77300000
46,270966,1917,98,940,19,26,77300000
56,150802,882,46,967,22,26,77300000
54,416786,4140,116,981,19,26,77300000
63,178346,1836,99,3846,19,26,77300000
37,70566,1001,63,974,19,26,77300000
57,323006,1982,72,922,19,26,77300000
29,1000956,7953,321,604,19,26,77300000
42,181587,1862,78,963,20,26,77300000
48,292806,1874,63,3574,19,26,77300000
55,465740,4044,89,952,19,26,77300000
39,102396,1224,69,940,19,26,77300000
42,85648,849,60,940,19,26,77300000
58,237961,1841,111,926,19,26,77300000
40,156357,1189,,3624,19,26,77300000
67,70924,811,62,1000,23,26,77300000
44,276030,1846,89,610,19,26,77300000
80,71569,857,84,913,26,26,77300000
39,113332,966,48,916,23,26,77300000
54,443215,3269,62,959,19,26,77300000
50,2151583,6972,272,1006,19,26,77300000
56,388404,2941,67,3694,19,26,77300000
44,96774,1072,40,963,19,26,77300000
53,104592,1406,65,984,19,26,77300000
57,97198,1235,59,989,19,26,77300000
63,55023,802,48,924,22,26,77300000
58,321153,2681,79,3700,19,26,77300000
48,155220,1431,89,935,19,26,77300000
49,149705,1770,65,927,19,26,77300000
54,229445,1326,136,931,19,26,77300000
64,90853,1069,39,1032,19,26,77300000
44,693745,4371,113,3640,19,26,77300000
61,88531,947,72,1013,19,26,77300000
56,122488,1338,103,1020,19,26,77300000
59,325188,2462,95,960,19,26,77300000
51,131655,1476,93,603,19,26,77300000
40,131790,1322,52,915,19,26,77300000
54,300685,1639,111,924,19,26,77300000
46,142113,1109,44,3625,19,26,77300000
51,150005,1054,79,913,19,26,77300000
44,247055,1398,90,962,19,26,77300000
49,226474,2208,88,965,19,26,77300000
51,143480,1244,117,1108,19,26,77300000
55,297477,2628,94,988,19,26,77300000
49,237424,1955,165,1011,19,26,77300000
56,148309,1314,96,918,19,26,77300000
46,3209483,15394,,3787,19,26,77300000
49,169454,1539,,633,19,26,77300000
63,79492,736,115,936,19,26,77300000
47,201147,1615,115,1008,19,26,77300000
55,123690,1154,44,973,19,26,77300000
55,125311,1563,58,968,19,26,77300000
46,228816,2445,215,607,19,26,77300000
57,404861,3577,163,3714,19,26,77300000
49,155315,1133,135,911,19,26,77300000
41,209108,2012,140,964,19,26,77300000
53,107599,1090,,903,19,26,77300000
64,400697,3703,193,3686,19,26,77300000
52,266656,1287,114,935,19,26,77300000
61,156145,1530,56,1123,19,26,77300000
46,303032,3518,159,1068,19,26,77300000
48,118517,1158,,926,19,26,77300000
62,351323,3465,122,3912,19,26,77300000
36,117218,1038,79,903,19,26,77300000
46,232757,1878,,961,19,26,77300000
69,201153,1920,97,939,19,26,77300000
68,139709,1614,81,3652,19,26,77300000
69,298764,2657,111,913,19,26,77300000
69,242624,1982,54,957,19,26,77300000
69,275373,2560,114,931,19,26,77300000
